C alpha,L alpha,GE alpha,SW alpha,Q alpha,C beta,L beta,GE beta,SW beta,Q beta,C delta,L delta,GE delta,SW delta,Q delta,C gamma,L gamma,GE gamma,SW gamma,Q gamma,C theta,L theta,GE theta,SW theta,Q theta,Class
0.018179,1.6899,0.64977,1.0649,0.17183,0.019001,1.6912,0.64956,0.96171,0.14289,0.03496,1.7171,0.64521,0.9631,0.10162,0.072689,1.6907,0.64963,1.0336,0.13756,0.019314,1.6926,0.64932,0.99687,0.18203,1
0.016703,1.6911,0.64958,1.0311,0.17021,0.012202,1.705,0.64724,1.0241,0.17785,0.023824,1.6929,0.64927,1.1117,0.17951,0.064331,1.6907,0.64963,0.9729,0.14911,0.043093,1.6947,0.64896,1.2282,0.15044,1
0.057593,1.716,0.64539,1.0397,0.12988,0.019464,1.6951,0.6489,1.076,0.1972,0.032364,1.6899,0.64977,1.0171,0.20393,0.092586,1.6928,0.64926,1.1027,0.18468,0.025139,1.6891,0.6499,1.0345,0.17668,1
0.018272,1.6928,0.64928,1.0304,0.1697,0.015325,1.6943,0.64902,0.8702,0.1581,0.034382,1.702,0.64774,1.0414,0.20491,0.068096,1.6895,0.64983,1.0163,0.15015,0.053399,1.695,0.64892,0.9922,0.13291,1
0.018884,1.6942,0.64905,1.1509,0.22508,0.009291,1.6897,0.64981,1.0979,0.19217,0.031778,1.6952,0.64889,1.1592,0.21851,0.071619,1.6907,0.64961,1.0381,0.16156,0.022416,1.6963,0.6487,0.98142,0.14617,1
0.017338,1.6903,0.6497,1.09,0.19504,0.012496,1.7004,0.64801,1.0012,0.18576,0.020929,1.691,0.64959,1.0502,0.16383,0.067767,1.689,0.64991,1.0373,0.14806,0.029252,1.6939,0.6491,0.9827,0.14045,1
0.32759,1.6586,0.55432,0.87312,0.074065,0.13768,1.6396,0.57079,1.1239,0.069294,0.11426,1.682,0.55793,0.76336,0.10579,0.099646,1.6969,0.64859,0.96763,0.12484,0.31569,1.6861,0.61359,0.90145,0.08714,1
0.024412,1.7008,0.64794,1.0642,0.18181,0.024284,1.7151,0.60907,0.82502,0.1569,0.024787,1.703,0.64757,1.043,0.15539,0.06354,1.6887,0.64995,0.94428,0.13529,0.02041,1.6922,0.64939,1.0771,0.205,1
0.020341,1.6966,0.64864,0.95874,0.16928,0.010728,1.689,0.64993,1.0672,0.16886,0.05812,1.7036,0.64005,0.91602,0.1068,0.06717,1.6888,0.64994,1.0195,0.12707,0.020039,1.689,0.64993,1.0823,0.14419,1
0.017208,1.6907,0.64964,1.0984,0.20317,0.01425,1.691,0.64959,1.1222,0.18369,0.030925,1.7057,0.64712,1.0468,0.16199,0.12311,1.7015,0.64781,1.0354,0.13811,0.077972,1.7214,0.64448,1.0918,0.13743,1
0.029938,1.6975,0.6485,1.1666,0.1545,0.012956,1.6923,0.64936,0.97417,0.16213,0.04425,1.6961,0.64873,1.1904,0.1934,0.082216,1.6938,0.64911,1.0417,0.1605,0.035911,1.6946,0.64898,1.2115,0.14644,1
0.015754,1.6901,0.64974,1.1357,0.23574,0.012383,1.7002,0.64804,1.1552,0.21213,0.019308,1.6931,0.64923,1.093,0.18734,0.07021,1.6908,0.6496,1.0834,0.19077,0.02927,1.7068,0.64694,0.99892,0.17842,1
