no_of_leaves alpha,L alpha,GE alpha,avgECC alpha,radius alpha,diameter alpha,no_of_leaves beta,L beta,GE beta,avgECC beta,radius beta,diameter beta,no_of_leaves delta,L delta,GE delta,avgECC delta,radius delta,diameter delta,no_of_leaves gamma,L gamma,GE gamma,avgECC gamma,radius gamma,diameter gamma,no_of_leaves theta,L theta,GE theta,avgECC theta,radius theta,diameter theta,Class
96,5.7232,0.21187,10.128,7,13,94,6.496,0.19849,12.068,8,16,95,6.106,0.19918,10.574,7,14,81,8.4116,0.15975,14.986,10,20,86,6.5312,0.19162,12.054,8,16,1
96,8.0465,0.16812,14.493,10,19,88,7.6182,0.16982,14.061,10,19,89,6.6863,0.19981,13.318,9,17,77,8.3419,0.15876,14.851,10,19,100,4.5777,0.24916,7.223,5,9,1
101,5.7129,0.21664,10.365,7,14,83,9.386,0.1493,16.622,11,21,87,8.3548,0.16304,15.986,11,21,84,7.5035,0.16878,12.432,8,16,80,8.6997,0.15795,16.399,11,22,1
84,8.665,0.16223,17.155,12,23,105,5.542,0.21753,9.7162,6,12,91,8.3567,0.16568,15.858,11,21,83,7.9394,0.16801,14.581,10,19,113,4.6062,0.25707,7.8716,5,10,1
84,11.688,0.13346,22.527,15,29,86,10.366,0.1466,19.115,12,23,96,6.3141,0.19712,11.041,7,14,68,9.8604,0.14469,19.601,13,26,94,6.2939,0.20478,11.345,8,15,1
87,7.1354,0.18484,13.318,9,18,85,6.6955,0.18597,12.182,8,16,93,7.7785,0.17242,15.608,11,21,72,7.5461,0.16948,14.507,10,20,95,6.3736,0.20957,13.892,10,19,1
125,5.0451,0.25193,8.8243,6,11,130,3.4313,0.33374,6.2297,4,8,112,5.7137,0.225,9.3716,6,11,103,3.9363,0.31089,7.9662,6,11,128,4.7372,0.25842,7.5541,5,9,1
100,6.2223,0.20962,12.277,9,17,97,6.8996,0.192,12.622,8,16,87,6.8307,0.18803,13.338,9,18,81,8.6591,0.15659,15.527,10,20,92,9.0965,0.16332,17.818,12,24,1
84,10.654,0.13923,19.682,13,25,85,7.3414,0.17578,13.912,10,19,121,5.9848,0.22601,11.115,7,14,75,8.9364,0.15151,17.791,12,23,103,6.1956,0.2041,11.865,8,16,1
83,7.6515,0.17337,15.426,11,21,86,6.4996,0.19879,11.649,8,16,93,6.4212,0.19503,12.291,9,17,108,5.2258,0.23156,9.4392,6,12,107,4.9795,0.24062,8.7365,6,12,1
106,5.6462,0.22181,11.257,8,15,98,6.4911,0.19572,11.588,8,15,105,5.6903,0.24368,14.068,10,19,95,6.7816,0.18939,11.676,8,15,108,4.5791,0.25613,8.7432,6,11,1
91,9.6373,0.1526,16.534,11,21,88,7.4293,0.18083,13.757,9,18,97,7.5152,0.1762,13.926,9,18,92,10.606,0.14625,20.574,13,26,105,6.2011,0.20471,11.601,8,15,1
96,6.3979,0.19077,10.338,7,13,96,7.8173,0.1771,14.784,10,19,119,4.8009,0.24984,8.3851,6,11,100,5.0289,0.23435,9.0068,6,12,102,5.9375,0.20703,10.689,7,14,1
88,7.6064,0.17294,15.689,11,21,88,7.3022,0.17803,14.973,10,19,83,8.0478,0.1647,14.007,9,17,79,10.342,0.14793,19.932,13,25,88,6.3835,0.19412,11.635,8,16,1
87,6.6176,0.18995,12.851,9,17,89,7.0417,0.18544,13.696,9,18,91,7.787,0.17554,15.426,11,21,78,9.8068,0.1466,17.98,12,23,100,7.8878,0.17397,15.223,10,20,1
103,7.6921,0.17544,13.905,9,18,102,4.6759,0.25815,8.5135,6,12,94,9.2881,0.15872,18.291,12,24,79,7.879,0.16773,14.98,10,19,95,6.194,0.2033,10.385,7,13,1
83,7.7176,0.17481,13.926,9,18,84,6.6704,0.18766,11.878,8,16,104,4.9985,0.23343,8.7162,6,12,83,8.1864,0.15834,13.98,9,18,97,6.8938,0.18812,12.642,9,17,1
84,8.8869,0.15594,15.365,10,19,100,5.2049,0.23579,9.5878,7,13,98,7.2333,0.18127,13.365,9,17,75,9.9774,0.14127,17.378,11,22,84,7.1668,0.17812,13.385,9,18,1
82,7.2282,0.17872,14.804,9,18,90,6.9022,0.18795,12.453,8,16,92,5.9239,0.20708,10.48,7,14,81,7.5863,0.17254,13.054,9,17,98,6.2448,0.20275,12.899,9,18,1
